Company,Contact_Name,Email,Phone,Website,City,Lead_Source,Status,Confidence,QA_Status,Verification_Status,Evidence
Horizon Acquisitions,David Martinez,david@horizonacquisitions.com,+1 470-942-3740,https://www.horizonacquisitions.com,"Houston, TX",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Horizon Home Buyers,James Miller,james@horizonhomebuyers.com,+1 672-538-1290,https://www.horizonhomebuyers.com,"Austin, TX",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Stellar Acquisitions,Brian Jones,brian@stellaracquisitions.com,+1 418-590-4681,https://www.stellaracquisitions.com,"Houston, TX",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Apex Solutions,Robert Brown,robert@apexsolutions.com,+1 618-260-2187,https://www.apexsolutions.com,"Phoenix, AZ",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Horizon Solutions,Michael Johnson,michael@horizonsolutions.com,+1 680-414-1306,https://www.horizonsolutions.com,"Tampa, FL",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Pages...) | - Missing Industry Keywords on Website
Eagle Real Estate,Brian Rodriguez,brian@eaglerealestate.com,+1 625-969-1517,https://www.eaglerealestate.com,"Denver, CO",PropStream Export,New,100,Passed,Verified,"+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Eagle Real Estate, LLC | Rache...) | + Industry Keywords found on Website"
Pioneer Properties,Jessica Garcia,jessica@pioneerproperties.com,+1 269-880-4384,https://www.pioneerproperties.com,"Dallas, TX",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Pioneer Properties - Your Part...) | - Missing Industry Keywords on Website
Elite Solutions,Sarah Rodriguez,sarah@elitesolutions.com,+1 630-726-3076,https://www.elitesolutions.com,"Austin, TX",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Commercial Installation &amp; ...) | - Missing Industry Keywords on Website
Nova Properties,Sarah Rodriguez,sarah@novaproperties.com,+1 671-654-5276,https://www.novaproperties.com,"Miami, FL",PropStream Export,New,90,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: ...) | - Missing Industry Keywords on Website
Nova Capital,Ashley Williams,ashley@novacapital.com,+1 506-348-8501,https://www.novacapital.com,"Charlotte, NC",PropStream Export,New,100,Passed,Verified,+ Valid Phone Format | + Valid Email Syntax | + Email Domain Matches Website | + Website Reachable (Title: Nova Capital &#8211; Relentles...) | + Industry Keywords found on Website
