"Lead_Type","Entity_Name","Contact_Name","Email","Phone","Website","Property_Address","City","State","Distress_Signal","Signal_Date","Owner_Name","Owner_Phone","Category","Lead_Source","Status","Confidence","QA_Status","Verification_Status","Evidence","Source_File"
"Buyer Contact","Apex Acquisitions","James Miller","james@apexacquisitions.com","+1 591-387-9092","https://www.apexacquisitions.com","","Austin, TX","TX","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","BlueSky Acquisitions","Emily Martinez","emily@blueskyacquisitions.com","+1 744-303-5879","https://www.blueskyacquisitions.com","","Atlanta, GA","GA","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Eagle Acquisitions","Robert Miller","robert@eagleacquisitions.com","+1 409-546-7962","https://www.eagleacquisitions.com","","Tampa, FL","FL","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Elite Acquisitions","Christopher Martinez","christopher@eliteacquisitions.com","+1 245-675-3698","https://www.eliteacquisitions.com","","Dallas, TX","TX","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Horizon Acquisitions","David Martinez","david@horizonacquisitions.com","+1 470-942-3740","https://www.horizonacquisitions.com","","Houston, TX","TX","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Horizon Acquisitions","James Williams","james@horizonacquisitions.com","+1 862-760-8680","https://www.horizonacquisitions.com","","Charlotte, NC","NC","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Horizon Acquisitions","John Jones","john@horizonacquisitions.com","+1 818-590-3920","https://www.horizonacquisitions.com","","Houston, TX","TX","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Liberty Acquisitions","Sarah Jones","sarah@libertyacquisitions.com","+1 593-481-3054","https://www.libertyacquisitions.com","","Austin, TX","TX","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Liberty Acquisitions","Michael Williams","michael@libertyacquisitions.com","+1 852-390-1659","https://www.libertyacquisitions.com","","Austin, TX","TX","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","NextGen Acquisitions","David Brown","david@nextgenacquisitions.com","+1 506-731-4725","https://www.nextgenacquisitions.com","","Houston, TX","TX","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Pioneer Acquisitions","John Garcia","john@pioneeracquisitions.com","+1 697-880-4535","https://www.pioneeracquisitions.com","","Dallas, TX","TX","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Pioneer Acquisitions","Sarah Miller","sarah@pioneeracquisitions.com","+1 707-572-8195","https://www.pioneeracquisitions.com","","Phoenix, AZ","AZ","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Pioneer Acquisitions","Christopher Rodriguez","christopher@pioneeracquisitions.com","+1 295-760-2524","https://www.pioneeracquisitions.com","","Miami, FL","FL","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Pioneer Acquisitions","David Williams","david@pioneeracquisitions.com","+1 838-204-8423","https://www.pioneeracquisitions.com","","Dallas, TX","TX","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Prime Acquisitions","Ashley Johnson","ashley@primeacquisitions.com","+1 940-921-8776","https://www.primeacquisitions.com","","Charlotte, NC","NC","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Stellar Acquisitions","Brian Jones","brian@stellaracquisitions.com","+1 418-590-4681","https://www.stellaracquisitions.com","","Houston, TX","TX","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Stellar Acquisitions","James Davis","james@stellaracquisitions.com","+1 225-400-4519","https://www.stellaracquisitions.com","","Denver, CO","CO","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Titan Acquisitions","Christopher Jones","christopher@titanacquisitions.com","+1 891-271-5936","https://www.titanacquisitions.com","","Dallas, TX","TX","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Buyer Contact","Titan Acquisitions","James Jones","james@titanacquisitions.com","+1 650-224-7561","https://www.titanacquisitions.com","","Orlando, FL","FL","","","","","Acquisitions","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
