"Company","Category","Contact_Name","Email","Phone","Website","City","Lead_Source","Status","Confidence","QA_Status","Verification_Status","Evidence","Source_File"
"Apex Acquisitions","Acquisitions","James Miller","james@apexacquisitions.com","+1 591-387-9092","https://www.apexacquisitions.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"BlueSky Acquisitions","Acquisitions","Emily Martinez","emily@blueskyacquisitions.com","+1 744-303-5879","https://www.blueskyacquisitions.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Eagle Acquisitions","Acquisitions","Robert Miller","robert@eagleacquisitions.com","+1 409-546-7962","https://www.eagleacquisitions.com","Tampa, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Elite Acquisitions","Acquisitions","Christopher Martinez","christopher@eliteacquisitions.com","+1 245-675-3698","https://www.eliteacquisitions.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Horizon Acquisitions","Acquisitions","John Jones","john@horizonacquisitions.com","+1 818-590-3920","https://www.horizonacquisitions.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Horizon Acquisitions","Acquisitions","James Williams","james@horizonacquisitions.com","+1 862-760-8680","https://www.horizonacquisitions.com","Charlotte, NC","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Horizon Acquisitions","Acquisitions","David Martinez","david@horizonacquisitions.com","+1 470-942-3740","https://www.horizonacquisitions.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Liberty Acquisitions","Acquisitions","Michael Williams","michael@libertyacquisitions.com","+1 852-390-1659","https://www.libertyacquisitions.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Liberty Acquisitions","Acquisitions","Sarah Jones","sarah@libertyacquisitions.com","+1 593-481-3054","https://www.libertyacquisitions.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"NextGen Acquisitions","Acquisitions","David Brown","david@nextgenacquisitions.com","+1 506-731-4725","https://www.nextgenacquisitions.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Pioneer Acquisitions","Acquisitions","Christopher Rodriguez","christopher@pioneeracquisitions.com","+1 295-760-2524","https://www.pioneeracquisitions.com","Miami, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Pioneer Acquisitions","Acquisitions","David Williams","david@pioneeracquisitions.com","+1 838-204-8423","https://www.pioneeracquisitions.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Pioneer Acquisitions","Acquisitions","John Garcia","john@pioneeracquisitions.com","+1 697-880-4535","https://www.pioneeracquisitions.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Pioneer Acquisitions","Acquisitions","Sarah Miller","sarah@pioneeracquisitions.com","+1 707-572-8195","https://www.pioneeracquisitions.com","Phoenix, AZ","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Prime Acquisitions","Acquisitions","Ashley Johnson","ashley@primeacquisitions.com","+1 940-921-8776","https://www.primeacquisitions.com","Charlotte, NC","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Stellar Acquisitions","Acquisitions","James Davis","james@stellaracquisitions.com","+1 225-400-4519","https://www.stellaracquisitions.com","Denver, CO","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Stellar Acquisitions","Acquisitions","Brian Jones","brian@stellaracquisitions.com","+1 418-590-4681","https://www.stellaracquisitions.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Titan Acquisitions","Acquisitions","James Jones","james@titanacquisitions.com","+1 650-224-7561","https://www.titanacquisitions.com","Orlando, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Titan Acquisitions","Acquisitions","Christopher Jones","christopher@titanacquisitions.com","+1 891-271-5936","https://www.titanacquisitions.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Vanguard Acquisitions","Acquisitions","Emily Rodriguez","emily@vanguardacquisitions.com","+1 658-643-1144","https://www.vanguardacquisitions.com","Charlotte, NC","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Vanguard Acquisitions","Acquisitions","Michael Johnson","michael@vanguardacquisitions.com","+1 893-802-5015","https://www.vanguardacquisitions.com","Dallas, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Velocity Acquisitions","Acquisitions","Ashley Martinez","ashley@velocityacquisitions.com","+1 546-774-5282","https://www.velocityacquisitions.com","Tampa, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Velocity Acquisitions","Acquisitions","John Smith","john@velocityacquisitions.com","+1 705-253-1181","https://www.velocityacquisitions.com","Phoenix, AZ","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Apex Capital","Capital Partner","John Rodriguez","john@apexcapital.com","+1 527-582-4667","https://www.apexcapital.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"BlueSky Capital","Capital Partner","Robert Smith","robert@blueskycapital.com","+1 670-507-9557","https://www.blueskycapital.com","Phoenix, AZ","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Elite Capital","Capital Partner","Michael Jones","michael@elitecapital.com","+1 463-395-7029","https://www.elitecapital.com","Tampa, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Liberty Capital","Capital Partner","Jessica Brown","jessica@libertycapital.com","+1 239-903-6688","https://www.libertycapital.com","Charlotte, NC","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Liberty Capital","Capital Partner","Ashley Smith","ashley@libertycapital.com","+1 560-426-1739","https://www.libertycapital.com","Orlando, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Liberty Capital","Capital Partner","William Williams","william@libertycapital.com","+1 537-681-3358","https://www.libertycapital.com","Miami, FL","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"NextGen Capital","Capital Partner","James Rodriguez","james@nextgencapital.com","+1 992-901-8280","https://www.nextgencapital.com","Denver, CO","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Nova Capital","Capital Partner","Christopher Davis","christopher@novacapital.com","+1 804-648-3117","https://www.novacapital.com","Charlotte, NC","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Nova Capital","Capital Partner","John Johnson","john@novacapital.com","+1 378-739-3409","https://www.novacapital.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Nova Capital","Capital Partner","Robert Martinez","robert@novacapital.com","+1 392-708-3001","https://www.novacapital.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Nova Capital","Capital Partner","Ashley Williams","ashley@novacapital.com","+1 506-348-8501","https://www.novacapital.com","Charlotte, NC","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Prime Capital","Capital Partner","Christopher Martinez","christopher@primecapital.com","+1 255-267-7352","https://www.primecapital.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Prime Capital","Capital Partner","James Smith","james@primecapital.com","+1 852-981-6641","https://www.primecapital.com","Atlanta, GA","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Stellar Capital","Capital Partner","Jessica Garcia","jessica@stellarcapital.com","+1 660-587-1548","https://www.stellarcapital.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Summit Capital","Capital Partner","Robert Smith","robert@summitcapital.com","+1 241-232-7515","https://www.summitcapital.com","Austin, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Titan Capital","Capital Partner","Emily Rodriguez","emily@titancapital.com","+1 855-522-7924","https://www.titancapital.com","Houston, TX","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
"Velocity Capital","Capital Partner","Christopher Johnson","christopher@velocitycapital.com","+1 250-547-4537","https://www.velocitycapital.com","Denver, CO","PropStream Export","New","","","","","Final_Qualified_Leads.csv"
