Property_Address,Property_City,Distress_Signal,Urgency_Score,Match_Score,Buyer_Company,Buyer_Contact,Buyer_Email,Buyer_Phone,Buyer_Category,Buyer_City,Owner_Name,Owner_Phone
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Apex Acquisitions,James Miller,james@apexacquisitions.com,+1 591-387-9092,Acquisitions,"Austin, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,BlueSky Acquisitions,Emily Martinez,emily@blueskyacquisitions.com,+1 744-303-5879,Acquisitions,"Atlanta, GA",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Eagle Acquisitions,Robert Miller,robert@eagleacquisitions.com,+1 409-546-7962,Acquisitions,"Tampa, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Elite Acquisitions,Christopher Martinez,christopher@eliteacquisitions.com,+1 245-675-3698,Acquisitions,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Horizon Acquisitions,David Martinez,david@horizonacquisitions.com,+1 470-942-3740,Acquisitions,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Horizon Acquisitions,James Williams,james@horizonacquisitions.com,+1 862-760-8680,Acquisitions,"Charlotte, NC",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Horizon Acquisitions,John Jones,john@horizonacquisitions.com,+1 818-590-3920,Acquisitions,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Liberty Acquisitions,Sarah Jones,sarah@libertyacquisitions.com,+1 593-481-3054,Acquisitions,"Austin, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Liberty Acquisitions,Michael Williams,michael@libertyacquisitions.com,+1 852-390-1659,Acquisitions,"Austin, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,NextGen Acquisitions,David Brown,david@nextgenacquisitions.com,+1 506-731-4725,Acquisitions,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Pioneer Acquisitions,John Garcia,john@pioneeracquisitions.com,+1 697-880-4535,Acquisitions,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Pioneer Acquisitions,Sarah Miller,sarah@pioneeracquisitions.com,+1 707-572-8195,Acquisitions,"Phoenix, AZ",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Pioneer Acquisitions,Christopher Rodriguez,christopher@pioneeracquisitions.com,+1 295-760-2524,Acquisitions,"Miami, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Pioneer Acquisitions,David Williams,david@pioneeracquisitions.com,+1 838-204-8423,Acquisitions,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Prime Acquisitions,Ashley Johnson,ashley@primeacquisitions.com,+1 940-921-8776,Acquisitions,"Charlotte, NC",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Stellar Acquisitions,Brian Jones,brian@stellaracquisitions.com,+1 418-590-4681,Acquisitions,"Houston, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Stellar Acquisitions,James Davis,james@stellaracquisitions.com,+1 225-400-4519,Acquisitions,"Denver, CO",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Titan Acquisitions,Christopher Jones,christopher@titanacquisitions.com,+1 891-271-5936,Acquisitions,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Titan Acquisitions,James Jones,james@titanacquisitions.com,+1 650-224-7561,Acquisitions,"Orlando, FL",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Vanguard Acquisitions,Michael Johnson,michael@vanguardacquisitions.com,+1 893-802-5015,Acquisitions,"Dallas, TX",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Vanguard Acquisitions,Emily Rodriguez,emily@vanguardacquisitions.com,+1 658-643-1144,Acquisitions,"Charlotte, NC",ANDREW HARRIS,469-391-4166
"10028 ROYAL LN, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,75,79.0,Velocity Acquisitions,John Smith,john@velocityacquisitions.com,+1 705-253-1181,Acquisitions,"Phoenix, AZ",ANDREW HARRIS,469-391-4166
