Priority,Score,Property_Address,City,Distress_Signal,Signal_Date,Owner_Name,Owner_Phone,Recommended_Actions,Breakdown
CRITICAL,100,"8201 FAIR OAKS XING, DALLAS, TX, 75231",DALLAS,Code Concern - CCS,2026-07-02T19:49:02.000,BARBARA MARTINEZ,972-857-1700,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"11600 AUDELIA RD, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-02T18:34:24.000,ROBERT THOMPSON,469-776-6049,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8795 WALNUT HILL LN, DALLAS, TX, 75231",DALLAS,Code Concern - CCS,2026-07-02T17:50:18.000,THOMAS MOORE,972-329-3387,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"10939 FERNDALE RD, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-07-02T16:13:25.000,SANDRA BROWN,214-683-9167,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"10416 CHURCH RD, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-07-02T16:11:40.000,JOSHUA THOMAS,972-875-5645,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"9506 OVERWOOD RD, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-07-02T16:10:17.000,PATRICIA KING,972-689-3270,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"10531 LAS BRISAS DR, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-02T16:04:41.000,DONALD WRIGHT,972-982-2406,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"PLANO RD & L B J FWY WB, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-07-02T15:39:51.000,STEVEN WILSON,972-679-4742,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"10132 RIDGEHAVEN DR, DALLAS, TX, 75238",DALLAS,Code Concern - CCS,2026-07-02T13:39:43.000,RICHARD HERNANDEZ,972-620-2871,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
CRITICAL,100,"8231 FOREST LN, DALLAS, TX, 75243",DALLAS,Code Concern - CCS,2026-07-02T13:16:50.000,PAUL LEE,469-759-9835,PRIORITY_OUTREACH | LOG_TO_PIPELINE,"{""distress"": 30, ""recency"": 25, ""has_owner_name"": 15, ""has_owner_phone"": 15, ""city_demand"": 20, ""total"": 100}"
