Company,Contact_Name,Email,Phone,Website,City,Lead_Source,Status
Nova Real Estate,David Miller,david@novarealestate.com,+1 317-675-6075,https://www.novarealestate.com,"Orlando, FL",PropStream Export,New
Velocity Acquisitions,John Smith,john@velocityacquisitions.com,+1 705-253-1181,https://www.velocityacquisitions.com,"Phoenix, AZ",PropStream Export,New
Eagle Equity,William Jones,william@eagleequity.com,+1 768-524-1452,https://www.eagleequity.com,"Dallas, TX",PropStream Export,New
NextGen Investments,Emily Garcia,emily@nextgeninvestments.com,+1 403-750-4513,https://www.nextgeninvestments.com,"Atlanta, GA",PropStream Export,New
Horizon Acquisitions,David Martinez,david@horizonacquisitions.com,+1 470-942-3740,https://www.horizonacquisitions.com,"Houston, TX",PropStream Export,New
NextGen Real Estate,Brian Davis,brian@nextgenrealestate.com,+1 936-394-1489,https://www.nextgenrealestate.com,"Denver, CO",PropStream Export,New
Prime Wholesalers,Robert Miller,robert@primewholesalers.com,+1 432-748-4678,https://www.primewholesalers.com,"Orlando, FL",PropStream Export,New
Horizon Home Buyers,James Miller,james@horizonhomebuyers.com,+1 672-538-1290,https://www.horizonhomebuyers.com,"Austin, TX",PropStream Export,New
Apex Wholesalers,Christopher Rodriguez,christopher@apexwholesalers.com,+1 493-654-1715,https://www.apexwholesalers.com,"Miami, FL",PropStream Export,New
Elite Wholesalers,Robert Miller,robert@elitewholesalers.com,+1 280-213-4926,https://www.elitewholesalers.com,"Atlanta, GA",PropStream Export,New
Stellar Home Buyers,Michael Garcia,michael@stellarhomebuyers.com,+1 254-930-1212,https://www.stellarhomebuyers.com,"Houston, TX",PropStream Export,New
NextGen Investments,Jessica Garcia,jessica@nextgeninvestments.com,+1 852-636-5800,https://www.nextgeninvestments.com,"Orlando, FL",PropStream Export,New
Stellar Holdings,Jessica Smith,jessica@stellarholdings.com,+1 531-228-7016,https://www.stellarholdings.com,"Atlanta, GA",PropStream Export,New
Nova Real Estate,John Jones,john@novarealestate.com,+1 813-778-2438,https://www.novarealestate.com,"Miami, FL",PropStream Export,New
Elite Wholesalers,Christopher Johnson,christopher@elitewholesalers.com,+1 883-333-2987,https://www.elitewholesalers.com,"Austin, TX",PropStream Export,New
Stellar Acquisitions,Brian Jones,brian@stellaracquisitions.com,+1 418-590-4681,https://www.stellaracquisitions.com,"Houston, TX",PropStream Export,New
Apex Solutions,Robert Brown,robert@apexsolutions.com,+1 618-260-2187,https://www.apexsolutions.com,"Phoenix, AZ",PropStream Export,New
Horizon Solutions,Michael Johnson,michael@horizonsolutions.com,+1 680-414-1306,https://www.horizonsolutions.com,"Tampa, FL",PropStream Export,New
Eagle Real Estate,Brian Rodriguez,brian@eaglerealestate.com,+1 625-969-1517,https://www.eaglerealestate.com,"Denver, CO",PropStream Export,New
Nova Wholesalers,Brian Davis,brian@novawholesalers.com,+1 420-982-1102,https://www.novawholesalers.com,"Austin, TX",PropStream Export,New
Nova Wholesalers,William Smith,william@novawholesalers.com,+1 651-291-5965,https://www.novawholesalers.com,"Austin, TX",PropStream Export,New
Pioneer Properties,Jessica Garcia,jessica@pioneerproperties.com,+1 269-880-4384,https://www.pioneerproperties.com,"Dallas, TX",PropStream Export,New
Elite Wholesalers,James Miller,james@elitewholesalers.com,+1 574-356-5484,https://www.elitewholesalers.com,"Miami, FL",PropStream Export,New
Eagle Holdings,Robert Johnson,robert@eagleholdings.com,+1 545-707-3944,https://www.eagleholdings.com,"Dallas, TX",PropStream Export,New
Elite Solutions,Sarah Rodriguez,sarah@elitesolutions.com,+1 630-726-3076,https://www.elitesolutions.com,"Austin, TX",PropStream Export,New
Stellar Acquisitions,James Davis,james@stellaracquisitions.com,+1 225-400-4519,https://www.stellaracquisitions.com,"Denver, CO",PropStream Export,New
Nova Wholesalers,Brian Johnson,brian@novawholesalers.com,+1 475-782-7977,https://www.novawholesalers.com,"Austin, TX",PropStream Export,New
Horizon Wholesalers,Ashley Smith,ashley@horizonwholesalers.com,+1 942-898-7049,https://www.horizonwholesalers.com,"Atlanta, GA",PropStream Export,New
Nova Properties,Sarah Rodriguez,sarah@novaproperties.com,+1 671-654-5276,https://www.novaproperties.com,"Miami, FL",PropStream Export,New
Titan Home Buyers,John Garcia,john@titanhomebuyers.com,+1 796-547-9650,https://www.titanhomebuyers.com,"Atlanta, GA",PropStream Export,New
Nova Capital,Ashley Williams,ashley@novacapital.com,+1 506-348-8501,https://www.novacapital.com,"Charlotte, NC",PropStream Export,New
Summit Real Estate,Robert Brown,robert@summitrealestate.com,+1 786-992-2663,https://www.summitrealestate.com,"Austin, TX",PropStream Export,New
Pioneer Holdings,Sarah Jones,sarah@pioneerholdings.com,+1 670-290-1730,https://www.pioneerholdings.com,"Phoenix, AZ",PropStream Export,New
Liberty Capital,William Williams,william@libertycapital.com,+1 537-681-3358,https://www.libertycapital.com,"Miami, FL",PropStream Export,New
Summit Home Buyers,John Smith,john@summithomebuyers.com,+1 780-587-5283,https://www.summithomebuyers.com,"Atlanta, GA",PropStream Export,New
Nova Investments,Christopher Brown,christopher@novainvestments.com,+1 730-534-6792,https://www.novainvestments.com,"Dallas, TX",PropStream Export,New
Stellar Capital,Jessica Garcia,jessica@stellarcapital.com,+1 660-587-1548,https://www.stellarcapital.com,"Houston, TX",PropStream Export,New
BlueSky Acquisitions,Emily Martinez,emily@blueskyacquisitions.com,+1 744-303-5879,https://www.blueskyacquisitions.com,"Atlanta, GA",PropStream Export,New
Velocity Properties,James Johnson,james@velocityproperties.com,+1 653-815-5682,https://www.velocityproperties.com,"Austin, TX",PropStream Export,New
Apex Wholesalers,Sarah Jones,sarah@apexwholesalers.com,+1 432-881-8976,https://www.apexwholesalers.com,"Tampa, FL",PropStream Export,New
BlueSky Home Buyers,Brian Brown,brian@blueskyhomebuyers.com,+1 494-213-1187,https://www.blueskyhomebuyers.com,"Houston, TX",PropStream Export,New
Summit Wholesalers,Sarah Miller,sarah@summitwholesalers.com,+1 309-248-4076,https://www.summitwholesalers.com,"Denver, CO",PropStream Export,New
BlueSky Wholesalers,Michael Davis,michael@blueskywholesalers.com,+1 720-985-1960,https://www.blueskywholesalers.com,"Dallas, TX",PropStream Export,New
Pioneer Acquisitions,David Williams,david@pioneeracquisitions.com,+1 838-204-8423,https://www.pioneeracquisitions.com,"Dallas, TX",PropStream Export,New
Elite Real Estate,Jessica Brown,jessica@eliterealestate.com,+1 883-413-3716,https://www.eliterealestate.com,"Denver, CO",PropStream Export,New
NextGen Investments,Sarah Johnson,sarah@nextgeninvestments.com,+1 435-750-7342,https://www.nextgeninvestments.com,"Phoenix, AZ",PropStream Export,New
Vanguard Home Buyers,John Jones,john@vanguardhomebuyers.com,+1 405-237-3508,https://www.vanguardhomebuyers.com,"Denver, CO",PropStream Export,New
Nova Capital,Christopher Davis,christopher@novacapital.com,+1 804-648-3117,https://www.novacapital.com,"Charlotte, NC",PropStream Export,New
Pioneer Acquisitions,Sarah Miller,sarah@pioneeracquisitions.com,+1 707-572-8195,https://www.pioneeracquisitions.com,"Phoenix, AZ",PropStream Export,New
Horizon Acquisitions,John Jones,john@horizonacquisitions.com,+1 818-590-3920,https://www.horizonacquisitions.com,"Houston, TX",PropStream Export,New
Stellar Investments,James Brown,james@stellarinvestments.com,+1 671-247-9816,https://www.stellarinvestments.com,"Denver, CO",PropStream Export,New
BlueSky Solutions,David Johnson,david@blueskysolutions.com,+1 337-612-4681,https://www.blueskysolutions.com,"Atlanta, GA",PropStream Export,New
Prime Holdings,David Davis,david@primeholdings.com,+1 735-909-7649,https://www.primeholdings.com,"Phoenix, AZ",PropStream Export,New
Stellar Home Buyers,Jessica Garcia,jessica@stellarhomebuyers.com,+1 861-903-8466,https://www.stellarhomebuyers.com,"Atlanta, GA",PropStream Export,New
Elite Capital,Michael Jones,michael@elitecapital.com,+1 463-395-7029,https://www.elitecapital.com,"Tampa, FL",PropStream Export,New
Velocity Investments,Brian Johnson,brian@velocityinvestments.com,+1 384-489-7018,https://www.velocityinvestments.com,"Houston, TX",PropStream Export,New
Liberty Acquisitions,Michael Williams,michael@libertyacquisitions.com,+1 852-390-1659,https://www.libertyacquisitions.com,"Austin, TX",PropStream Export,New
NextGen Investments,Jessica Rodriguez,jessica@nextgeninvestments.com,+1 412-334-2891,https://www.nextgeninvestments.com,"Tampa, FL",PropStream Export,New
Apex Properties,Michael Rodriguez,michael@apexproperties.com,+1 313-271-9931,https://www.apexproperties.com,"Phoenix, AZ",PropStream Export,New
Pioneer Real Estate,John Davis,john@pioneerrealestate.com,+1 667-298-1690,https://www.pioneerrealestate.com,"Houston, TX",PropStream Export,New
Elite Solutions,William Garcia,william@elitesolutions.com,+1 617-577-8424,https://www.elitesolutions.com,"Atlanta, GA",PropStream Export,New
Pioneer Holdings,Christopher Brown,christopher@pioneerholdings.com,+1 826-413-2691,https://www.pioneerholdings.com,"Austin, TX",PropStream Export,New
Stellar Investments,Sarah Johnson,sarah@stellarinvestments.com,+1 625-327-7091,https://www.stellarinvestments.com,"Austin, TX",PropStream Export,New
Nova Home Buyers,Ashley Williams,ashley@novahomebuyers.com,+1 839-479-5936,https://www.novahomebuyers.com,"Dallas, TX",PropStream Export,New
Velocity Holdings,John Brown,john@velocityholdings.com,+1 603-442-4954,https://www.velocityholdings.com,"Tampa, FL",PropStream Export,New
BlueSky Solutions,William Davis,william@blueskysolutions.com,+1 908-797-9999,https://www.blueskysolutions.com,"Miami, FL",PropStream Export,New
BlueSky Wholesalers,William Davis,william@blueskywholesalers.com,+1 772-956-6727,https://www.blueskywholesalers.com,"Charlotte, NC",PropStream Export,New
Stellar Solutions,Sarah Brown,sarah@stellarsolutions.com,+1 334-416-7639,https://www.stellarsolutions.com,"Phoenix, AZ",PropStream Export,New
