Property_Address,City,State,Distress_Signal,Signal_Date,Owner_Name,Phone
"9614 HEATHERDALE DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-04T20:25:51.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9010 MARKVILLE DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-04T19:27:47.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10105 APPLE CREEK DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-04T17:40:44.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9633 FERRIS BRANCH BLVD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-04T16:05:32.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8850 FAIR OAKS XING, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-04T13:17:06.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8204 BENARES DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-04T11:19:20.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10901 MCINTOSH CT, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-04T10:16:00.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10905 MCINTOSH CT, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-04T09:52:49.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9006 BRYSON DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-04T09:43:58.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10819 WALLBROOK DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-04T09:40:56.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10823 WALLBROOK DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-04T09:39:02.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8903 VISTA VIEW DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-04T09:36:05.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8901 VISTA VIEW DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-04T08:03:39.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10052 HICKORY CROSSING, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-03T22:06:03.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"7324 SKILLMAN ST, DALLAS, TX, 75231",DALLAS,TX,Code Concern - CCS,2026-07-03T19:57:37.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9833 WALNUT ST, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-03T16:02:49.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8751 FERNDALE RD, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-03T12:40:14.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8710 VISTA VIEW DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-03T08:31:21.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8905 VISTA VIEW DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-03T08:24:42.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9722 FOREST LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-03T08:22:10.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9624 FALLBROOK DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-03T07:17:26.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9611 FALLBROOK DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-03T07:14:35.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8201 FAIR OAKS XING, DALLAS, TX, 75231",DALLAS,TX,Code Concern - CCS,2026-07-02T19:49:02.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"11600 AUDELIA RD, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T18:34:24.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8795 WALNUT HILL LN, DALLAS, TX, 75231",DALLAS,TX,Code Concern - CCS,2026-07-02T17:50:18.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10610 METRIC DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T16:21:35.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10939 FERNDALE RD, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T16:13:25.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10416 CHURCH RD, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T16:11:40.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9506 OVERWOOD RD, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T16:10:17.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10531 LAS BRISAS DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T16:04:41.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10062 ROYAL LN, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T15:42:12.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"PLANO RD & L B J FWY WB, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T15:39:51.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"11032 GLEN ECHO CT, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T15:32:51.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10132 RIDGEHAVEN DR, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T13:39:43.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8231 FOREST LN, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T13:16:50.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"10609 GREYFRIARS LN, DALLAS, TX, 75238",DALLAS,TX,Code Concern - CCS,2026-07-02T12:11:18.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9200 MARKANNE DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T11:56:28.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8446 BIRCHCROFT DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T11:53:21.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"12160 WILLOWDELL DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T11:21:42.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"12220 WILLOWDELL DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T11:19:25.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9530 FORESTVIEW ST, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T10:10:23.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"9029 CHURCH RD, DALLAS, TX, 75231",DALLAS,TX,Code Concern - CCS,2026-07-02T08:55:46.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8329 GLEN REGAL DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T07:09:51.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
"8330 GLEN REGAL DR, DALLAS, TX, 75243",DALLAS,TX,Code Concern - CCS,2026-07-02T03:44:13.000,ACTION_REQUIRED_SKIP_TRACE,ACTION_REQUIRED_SKIP_TRACE
