Lead_Type,Company,Contact_Name,Phone,Email,Website,City,State,Property_Address,Distress_Signal,Signal_Date,Owner_Name,Lead_Source,Confidence,Notes
Wholesaler/Buyer,Steve Hendry Homes,,+1-214-908-9188,stevehendry@remax.net,http://www.stevehendryhomes.net,Dallas,,,,,,OpenStreetMap,60,OSM ID: 4885326683
Wholesaler/Buyer,ULR Properties - Dallas,,+1-214-233-6158,,https://urbanleasing.com/dallas-apartments/,Dallas,,,,,,OpenStreetMap,60,OSM ID: 5159506514
Wholesaler/Buyer,LBJ Station,,+1-214-599-8997,,https://www.lbjstation.com,Dallas,,,,,,OpenStreetMap,60,OSM ID: 5651195719
Wholesaler/Buyer,Trinity Loft,,+1-214-747-1403,,https://www.trinityloft.com,Dallas,,,,,,OpenStreetMap,60,OSM ID: 5652981717
Wholesaler/Buyer,Fairways at Prestonwood,,+1-214-453-5776,,https://www.fairways411.com,Dallas,,,,,,OpenStreetMap,60,OSM ID: 5707536358
Wholesaler/Buyer,Dutton & Sickler Properties LLC,,,,,Dallas,,,,,,OpenStreetMap,60,OSM ID: 6561702802
Wholesaler/Buyer,D Realty Investments Inc,,,,,Dallas,,,,,,OpenStreetMap,60,OSM ID: 6561702808
Wholesaler/Buyer,Stuart Margol Companies,,,,,Dallas,,,,,,OpenStreetMap,60,OSM ID: 6592041352
Wholesaler/Buyer,Granberry Commercial Properties,,+1-972-733-3333,maintenance@granberryproperties.com,http://www.granberryproperties.com/,Dallas,,,,,,OpenStreetMap,60,OSM ID: 7418270230
Wholesaler/Buyer,Epic Real Estate Partners,,,,,Dallas,,,,,,OpenStreetMap,60,OSM ID: 7621980443
Wholesaler/Buyer,RE/MAX,,,,,Dallas,,,,,,OpenStreetMap,60,OSM ID: 7833212352
Wholesaler/Buyer,Green Earth Realty,,,,,Dallas,,,,,,OpenStreetMap,60,OSM ID: 8740597314
Wholesaler/Buyer,"Sold My Land For Cash, LLC",,+1-855-927-3570,,https://soldmyland4cash.com,Dallas,,,,,,OpenStreetMap,60,OSM ID: 9819477214
Wholesaler/Buyer,Real Dallas,,,,,Dallas,,,,,,OpenStreetMap,60,OSM ID: 10208081932
Wholesaler/Buyer,Century 21,,,,,Dallas,,,,,,OpenStreetMap,60,OSM ID: 10767513785
Wholesaler/Buyer,"Bill Clarkson - Richardson, TX Luxury Real Estate Expert",,+1-214-708-3241,Bill@BillClarksonRealEstate.com,https://richardsontxrealestate.com,Dallas,,,,,,OpenStreetMap,60,OSM ID: 10770265629
Wholesaler/Buyer,One Realty,,,,,Dallas,,,,,,OpenStreetMap,60,OSM ID: 11360686384
Wholesaler/Buyer,"Longhorn Land Partners, LLC",,+1-832-271-4755,,https://longhornland.org,Dallas,,,,,,OpenStreetMap,60,OSM ID: 11433988311
Wholesaler/Buyer,Daisy Greek,,+1-214-617-6647,,https://daisygreektx.com,Dallas,,,,,,OpenStreetMap,60,OSM ID: 11777696309
Wholesaler/Buyer,Bluffs at Lakewood,,+1 469-840-1692,,https://www.bluffsatlakewood.com/,Dallas,,,,,,OpenStreetMap,60,OSM ID: 11919456797
